Scotoma;39698;530;[123];1;['PUBMED|673964']
Intractable ophthalmic migraine;2905824;577;[123];1;['UMLS2012AA|MRREL']
Oculomotor Nerve Paralysis;31138;11766940;[123];1;['PUBMED|9874541']
Pituitary Hormones;34798;483;[306, 330];1;['PUBMED|13274216']
Headache Disorders;469178;575;[123];59;['PUBMED|19222590', 'PUBMED|236645', 'PUBMED|10862316', 'PUBMED|19371522', 'PUBMED|19810879', 'PUBMED|8081520', 'PUBMED|18028378', 'PUBMED|19939188', 'PUBMED|18339350', 'PUBMED|8287282', 'PUBMED|8545137', 'PUBMED|17212988', 'PUBMED|12864760', 'PUBMED|15248058', 'PUBMED|20836574', 'PUBMED|8917290', 'PUBMED|15847028', 'PUBMED|19218020', 'PUBMED|17544646', 'PUBMED|7904984', 'PUBMED|12670664', 'PUBMED|19438727', 'PUBMED|11790814', 'PUBMED|18843470', 'PUBMED|16178941', 'PUBMED|19727632', 'PUBMED|15252726', 'PUBMED|12230591', 'PUBMED|22231680', 'PUBMED|17457710', 'PUBMED|18624806', 'PUBMED|9453267', 'PUBMED|19198100', 'PUBMED|7672955', 'PUBMED|22153828', 'PUBMED|16243216', 'PUBMED|11723194', 'PUBMED|22009991', 'PUBMED|15651339', 'PUBMED|15062251', 'PUBMED|19735535', 'PUBMED|15070571', 'PUBMED|14984680', 'PUBMED|21812905', 'PUBMED|17940921', 'PUBMED|9443593', 'PUBMED|16061523', 'PUBMED|19347025', 'PUBMED|17381554', 'PUBMED|20347391', 'PUBMED|16834949', 'PUBMED|11252154', 'PUBMED|17894929', 'PUBMED|9533672', 'PUBMED|9071264', 'PUBMED|18049496', 'PUBMED|14524731', 'PUBMED|9009469', 'PUBMED|9422240']
Adrenergic Receptor;37842;530;[306, 375];1;['PUBMED|7216753']
Complement System Proteins;11118;530;[306, 339];6;['PUBMED|3657618', 'PUBMED|7413499', 'PUBMED|15955036', 'PUBMED|6669486', 'PUBMED|6871986', 'PUBMED|721457']
Inflammatory disorder;1851420;11766940;[123];1;['PUBMED|10524659']
classic migraine with typical aura with intractable migraine and status migrainosus;3686604;577;[123];1;['UMLS2012AA|MRREL']
Entire middle cerebral artery;1808720;411;[60];2;['PUBMED|10735768', 'PUBMED|8362427']
Reflex Epilepsy, Photosensitive;469148;11766940;[123];1;['PUBMED|8736031']
Receptor Gene;1933928;11766870;[72];5;['PUBMED|21376262', 'PUBMED|19175383', 'PUBMED|16722981', 'PUBMED|9295094', 'PUBMED|19539700']
Dysphasia;1343378;467;[126];1;['PUBMED|20656713']
Mitral Valve Prolapse Syndrome;28600;11766940;[123];1;['PUBMED|1790570']
factor V Leiden;456550;530;[306];1;['PUBMED|11279903']
Prostaglandins E;36464;530;[297, 324];1;['PUBMED|19154437']
Cancer-Predisposing Gene;1249130;11766870;[72];1;['PUBMED|15513297']
Tolosa-Hunt Syndrome;43896;11766940;[123];1;['PUBMED|8262787']
Depressive disorder;13256;11766940;[126];2;['PUBMED|16396660', 'PUBMED|4069989']
coenzyme Q10;66900;483;[291, 318, 324];3;['PUBMED|17355497', 'PUBMED|11972582', 'PUBMED|15728298']
Pain Disorder;466512;575;[126];1;['PUBMED|12861665']
cyclic vomiting syndrome associated with intractable migraine and status migrainosus;3686910;530;[123];1;['UMLS2012AA|MRREL']
Migraine without aura, not refractory;2657328;577;[123];1;['UMLS2012AA|MRREL']
Giant Cell Arteritis;42994;11766940;[123];1;['PUBMED|7428989']
Trigeminal nerve structure;44606;411;[60];1;['PUBMED|12426051']
cardiovascular risk factor;1162192;475;[123];1;['PUBMED|19496830']
basilar migraine headache with intractable migraine and status migrainosus;3688800;530;[123];1;['UMLS2012AA|MRREL']
Dependence;553320;455;[126];1;['PUBMED|1341823']
Immunoglobulins;23102;530;[306, 318, 339];4;['PUBMED|3657618', 'PUBMED|893089', 'PUBMED|6871986', 'PUBMED|3252686']
cytokine production;1920032;530;[102];1;['PUBMED|10568217']
11-dehydro-thromboxane B2;48848;530;[297];1;['PUBMED|8002323']
Glutamate;227832;471;[306, 324];3;['PUBMED|22435925', 'PUBMED|19126374', 'PUBMED|18416824']
migraine aura without headache with intractable migraine and status migrainosus;3687468;575;[123];1;['UMLS2012AA|MRREL']
Autonomic nervous system disorders;1596134;11766940;[123];2;['PUBMED|1582577', 'PUBMED|6713525']
Hysteria;22800;11766940;[126];1;['PUBMED|15636352']
Somatostatin analog;986202;483;[306, 318, 330];1;['PUBMED|10961767']
Vasoactive Intestinal Peptide;45900;530;[306, 327, 330];3;['PUBMED|21979827', 'PUBMED|21122466', 'PUBMED|1690601']
Entire hand;1833206;411;[60];1;['PUBMED|410625']
Blind Vision;584694;455;[123];1;['PUBMED|9190138']
Carotidynia;258300;11766940;[123];2;['PUBMED|7346192', 'PUBMED|556819']
Headache Disorders;469178;575;[123];1;['UMLS2012AA|MRREL']
Methylenetetrahydrofolate reductase (NADPH);83490;530;[306, 333];1;['PUBMED|17962595']
Low Tension Glaucoma;143722;11766940;[123];1;['PUBMED|20068372']
intractable hemiplegic headache;3124410;575;[123];1;['UMLS2012AA|MRREL']
Sodium;40840;530;[324, 384];1;['PUBMED|20398637']
Exertion;16952;471;[102];1;['PUBMED|21467933']
sporadic hemiplegic migraine headache with intractable migraine and status migrainosus;3687730;575;[123];1;['UMLS2012AA|MRREL']
Recombinant Thyroid-Stimulating Hormone;2284154;483;[306, 318, 330];1;['PUBMED|2272093']
Blood Vessels;7092;411;[60];1;['PUBMED|18471116']
Adenosine;2484;455;[300, 318, 327];2;['PUBMED|16886928', 'PUBMED|7715531']
Fish Oils;17950;459;[312, 318, 324];1;['PUBMED|8961243']
Oxygen;32626;618;[318, 384];1;['UMLS2012AA|MRREL']
Silent migraine;5213692;1141;[123];1;['UMLS2012AA|MRREL']
Integumentary scale;229428;411;[60];1;['PUBMED|16618265']
Epithelial cell of renal tubule;738524;411;[66];1;['PUBMED|10024348']
Sick Headaches;939988;1418;[123];1;['UMLS2012AA|MRREL']
Vasoactive Intestinal Peptide;45900;11766882;[306, 327, 330];2;['PUBMED|21914446', 'PUBMED|21122466']
retinal migraine headache with intractable migraine;3686642;530;[123];1;['UMLS2012AA|MRREL']
Entire external jugular vein;1828040;411;[60];2;['PUBMED|19330286', 'PUBMED|8395344']
Vascular Headaches;45874;575;[123];1;['PUBMED|1115654']
palmidrol;89320;483;[312, 318];1;['PUBMED|17119542']
nervous system disorder;30080;11766940;[123];1;['PUBMED|7335315']
Food Allergy;18278;11766940;[123];5;['PUBMED|6155583', 'PUBMED|4088912', 'PUBMED|6351082', 'PUBMED|6105578', 'PUBMED|6105579']
Suicide attempt;42174;11766940;[126];1;['PUBMED|22404176']
Behcet Syndrome;6172;11766940;[123];1;['PUBMED|12603366']
retinal migraine headache lower half of visual field;3341766;577;[123];1;['UMLS2012AA|MRREL']
Aphasia;4794;467;[126];1;['UMLS2012AA|MRREL']
Enkephalin, Methionine;15956;11766912;[306, 327];1;['PUBMED|2809630']
Subcortical Lesions;1196316;11766940;[123];1;['PUBMED|17040346']
Urea;45410;483;[291, 318, 324];1;['PUBMED|14244389']
thylakoid (cell component);1020558;411;[69];1;['PUBMED|6412632']
Glutamate;227832;455;[306, 324];2;['PUBMED|19170689', 'PUBMED|21643792']
Mixed anxiety and depressive disorder;398400;11766940;[126];1;['PUBMED|20553331']
Serotonin;40026;11766912;[291, 327];1;['PUBMED|2809630']
Neurotransmitters;30252;530;[327];6;['PUBMED|16927961', 'PUBMED|19446275', 'PUBMED|8752392', 'PUBMED|20692105', 'PUBMED|12534577', 'PUBMED|2507160']
intractable abdominal migraine;3124408;577;[123];1;['UMLS2012AA|MRREL']
Sexual abuse;316118;11766940;[126];1;['PUBMED|17785664']
Subarachnoid Hemorrhage;42008;455;[123];2;['PUBMED|20888859', 'PUBMED|1949199']
Psychasthenic neurosis;398386;11766940;[126];1;['PUBMED|15636352']
Cerebrovascular Circulation;9224;428;[108];4;['PUBMED|2193447', 'PUBMED|18460006', 'PUBMED|597797', 'PUBMED|3742145']
TNF gene;1094878;530;[72];2;['PUBMED|12047333', 'PUBMED|19559392']
Ischemia;24312;455;[123];3;['PUBMED|3881906', 'PUBMED|2152450', 'PUBMED|15595247']
Cervicogenic Headache;586828;11766940;[123];1;['PUBMED|18494988']
hemiplegic migraine headache with status migrainosus;3688802;575;[123];1;['UMLS2012AA|MRREL']
TELANGIECTASIA, HEREDITARY HEMORRHAGIC, TYPE 4;2710394;469;[123];1;['UMLS2012AA|MRREL']
Hemostatic function;21128;428;[108];1;['PUBMED|15162279']
Capsaicin;8250;530;[312, 318];1;['PUBMED|17593297']
Capsaicin;8250;483;[312, 318];2;['PUBMED|15270595', 'PUBMED|8495452']
Neurotic Disorders;30274;11766940;[126];3;['PUBMED|9100400', 'PUBMED|7672954', 'PUBMED|8797461']
Chronic infectious disease;142674;11766940;[123];1;['PUBMED|15147255']
classic migraine with prolonged aura with intractable migraine and status migrainosus;3686596;577;[123];1;['UMLS2012AA|MRREL']
X Chromosome;46848;411;[69];1;['PUBMED|12849426']
